Quality,Fibre,Count,Finish,Print,Coverage,Consum,Issued,Balance,Meters,Mesh,Rod,Speed,Hits,Color-hits,Viscosity,Machine
13200046,CV,32,None,Reactive,11.86,210,240,30,10520,195.0,8.0,30.0,1,1,108.0,2.0
13200046,CV,32,None,Reactive,56.84,1060,1080,20,10520,125.0,10.0,30.0,1,1,70.0,2.0
13200046,CV,32,None,Reactive,18.55,345,360,15,10520,165.0,10.0,30.0,1,1,75.0,2.0
13200046,CV,32,None,Reactive,20.81,342,360,18,10520,165.0,10.0,30.0,1,0,68.0,2.0
13200046,CV,32,None,Reactive,4.4,102,120,18,10520,155.0,10.0,30.0,1,0,70.0,2.0
A130D001,V,30,None,Pigment,5.64,128,150,22,12720,155.0,10.0,30.0,0,0,,1.0
A130D001,V,30,None,Pigment,2.86,105,120,15,12720,155.0,10.0,30.0,0,0,,1.0
A130D001,V,30,None,Pigment,12.54,220,240,20,12720,155.0,10.0,30.0,0,0,,1.0
A130D001,V,30,None,Pigment,23.85,337,360,23,12720,155.0,10.0,30.0,0,0,,1.0
A130D001,V,30,None,Pigment,2.65,110,120,10,12720,155.0,10.0,30.0,0,0,,1.0
A130D001,V,30,None,Pigment,1.63,65,80,15,12720,155.0,10.0,30.0,0,0,,1.0
A130D001,V,30,None,Pigment,7.44,172,200,28,12720,155.0,10.0,30.0,0,0,,1.0
A130D001,V,30,None,Pigment,11.4,220,240,20,12720,125.0,10.0,30.0,0,0,,1.0
A130D001,V,30,None,Pigment,11.24,220,240,20,12720,155.0,10.0,30.0,0,0,,1.0
A130D001,V,30,None,Pigment,17.14,344,360,16,12720,125.0,10.0,30.0,0,0,,1.0
A130D001,V,30,None,Pigment,5.76,130,150,20,12720,125.0,10.0,30.0,0,0,,1.0
13200046,CV,32,None,Reactive,49.82,220,240,20,1745,195.0,8.0,25.0,1,1,,2.0
13200046,CV,32,None,Reactive,14.44,80,90,10,1745,195.0,15.0,25.0,1,0,,2.0
13200046,CV,32,None,Reactive,18.95,85,100,15,1745,125.0,8.0,25.0,1,0,,2.0
13200046,CV,32,None,Reactive,21.85,90,100,10,1745,165.0,12.0,25.0,1,0,,2.0
13200046,CV,32,None,Reactive,9.19,50,60,10,1745,165.0,10.0,25.0,1,0,,2.0
13000437,CV,30,Raise,Pigment,37.83,277,300,23,3910,125.0,15.0,35.0,0,0,80.0,2.0
A130D001,V,30,None,Reactive,31.85,700,720,20,13885,125.0,15.0,30.0,2,1,,1.0
A130D001,V,30,None,Reactive,5.95,145,170,25,13885,155.0,15.0,30.0,2,2,,1.0
A130D001,V,30,None,Reactive,3.3,100,120,20,13885,155.0,15.0,30.0,2,1,,1.0
A130D001,V,30,None,Reactive,15.87,330,360,30,13885,155.0,12.0,30.0,2,2,,1.0
A130D001,V,30,None,Reactive,30.67,455,480,25,13885,155.0,20.0,30.0,2,2,,1.0
